"Key: pcc_id, a concatenation of Product, Component, and Contract ID. 
A many-to-one relationship with contracts using the foreign key: Contract ID",,,,,,,,,
pcc_id,Product,Component,Contract ID,Transit Provider,Vendor,~Capital Service Entry Date,~Capital EOL Date,Notes,Version
Token Transit Mobile Ticketing|Mobile ticketing|Token Transit|GET Bus 1,Token Transit Mobile Ticketing,Mobile ticketing,GET Bus 1,GET Bus,Token Transit,,,,
TO CONFIRM|Farebox|Genfare|GET Bus 2,TO CONFIRM,Farebox,GET Bus 2,GET Bus,Genfare,,,,
TO CONFIRM|APC Sensors|UTA|GET Bus 3,TO CONFIRM,APC Sensors,GET Bus 3,GET Bus,UTA,,,,
TO CONFIRM|APC On-Board Computer|UTA|GET Bus 3,TO CONFIRM,APC On-Board Computer,GET Bus 3,GET Bus,UTA,,,,
UTA APC Software|APC Software|UTA|GET Bus 3,UTA APC Software,APC Software,GET Bus 3,GET Bus,UTA,,,,
TransTrack Manager|Consolidated Reporting|TransTrack|GET Bus 4,TransTrack Manager,Consolidated Reporting,GET Bus 4,GET Bus,TransTrack,,,,
Connextionz CAD/AVL|Mobile data terminal|Connectionz|GET Bus 5,Connextionz CAD/AVL,Mobile data terminal,GET Bus 5,GET Bus,Connectionz,,,,
TO CONFIRM|Service alerts|Connectionz|GET Bus 5,TO CONFIRM,Service alerts,GET Bus 5,GET Bus,Connectionz,,,,
Connextionz CAD/AVL|Location Sensors|Connectionz|GET Bus 5,Connextionz CAD/AVL,Location Sensors,GET Bus 5,GET Bus,Connectionz,,,,
Connextionz CAD/AVL|AVL On-board Computer|Connectionz|GET Bus 5,Connextionz CAD/AVL,AVL On-board Computer,GET Bus 5,GET Bus,Connectionz,,,,
Connextionz CAD/AVL|AVL Software|Connectionz|GET Bus 5,Connextionz CAD/AVL,AVL Software,GET Bus 5,GET Bus,Connectionz,,,,
Connextionz CAD/AVL|Arrival predictions|Connectionz|GET Bus 5,Connextionz CAD/AVL,Arrival predictions,GET Bus 5,GET Bus,Connectionz,,,,
Connextionz Vehicle and Shelter Displays|Interior signage|Connectionz|GET Bus 5,Connextionz Vehicle and Shelter Displays,Interior signage,GET Bus 5,GET Bus,Connectionz,,,,
Connexionz AVA|Annunciator|Connectionz|GET Bus 5,Connexionz AVA,Annunciator,GET Bus 5,GET Bus,Connectionz,,,,
Hanover Headsigns|Headsigns|Connectionz|GET Bus 5,Hanover Headsigns,Headsigns,GET Bus 5,GET Bus,Connectionz,,,,
Connextionz CAD/AVL|Real-time info|Connectionz|GET Bus 5,Connextionz CAD/AVL,Real-time info,GET Bus 5,GET Bus,Connectionz,,,,
Sunrise CDP|Offboard signage|Connectionz|GET Bus 5,Sunrise CDP,Offboard signage,GET Bus 5,GET Bus,Connectionz,,,,
Connextionz CAD/AVL|GTFS generation|Connectionz|GET Bus 5,Connextionz CAD/AVL,GTFS generation,GET Bus 5,GET Bus,Connectionz,,,,
Worldpay|Payment processor|Worldpay|GET Bus 6,Worldpay,Payment processor,GET Bus 6,GET Bus,Worldpay,,,,
Optibus|Scheduling|Optibus|GET Bus 7,Optibus,Scheduling,GET Bus 7,GET Bus,Optibus,,,,
Transit App|Service alerts|Transit App|GET Bus 8,Transit App,Service alerts,GET Bus 8,GET Bus,Transit App,,,,
